id,categoryId,taxRateId,name,sku,barcode,price,costPrice,stockLevel,trackStock,allowPriceOverride,isWeighable,showInGoods,goodsSortOrder,color,image,isActive,createdAt,updatedAt,scalePlu
import-prod-43064,import-cat-uncategorised,tax-standard-vat,KAMIS ZEBERKA,43064,5900084272889,69,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-2940,import-cat-18,tax-standard-vat,KAMIS ZIELEANGIELSKIE 15G,2940,5900084004015,69,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-4192,import-cat-10,tax-standard-vat,KAMIS ZIOLA D.DROBIU,4192,5900084054010,49,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-41071,import-cat-uncategorised,tax-standard-vat,KAMIS ZIOLA PROWANSA,41071,5900084270496,69,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-43082,import-cat-uncategorised,tax-standard-vat,KAMIZ ZIELE,43082,5900084274135,49,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-3538,import-cat-9,tax-standard-vat,KAMYKI 100G,3538,5900352000206,89,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-39015,import-cat-uncategorised,tax-standard-vat,KANAPKA,39015,,150,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-43367,import-cat-uncategorised,tax-standard-vat,KANDIA CHOCOLATE IN ORANGE,43367,5941047839336,499,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-42058,import-cat-uncategorised,tax-standard-vat,KANGUS 400G,42058,5900020042323,539,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-22114,import-cat-15,tax-standard-vat,KAP. PEKINSKA/CH.CAB,22114,,119,0,0,0,0,1,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-31912,import-cat-15,tax-standard-vat,KAPUSTA BIALA,31912,,0,0,0,0,0,1,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-43410,import-cat-15,tax-standard-vat,KAPUSTA COOLWRAP,43410,,0,0,0,0,0,1,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-43166,import-cat-uncategorised,tax-standard-vat,Kapusta Coolwrap,43166,,0,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-42273,import-cat-15,tax-standard-vat,KAPUSTA CZERWONA,42273,,0,0,0,0,0,1,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-13542,import-cat-uncategorised,tax-standard-vat,KAPUSTA DYSPOL 500G,13542,5904328000016,129,56,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-17242,import-cat-uncategorised,tax-standard-vat,KAPUSTA KISZONA,17242,5906731963056,99,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-3068,import-cat-uncategorised,tax-standard-vat,KAPUSTA KISZONA 0.5KG,3068,5907716100022,49,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-6248,import-cat-uncategorised,tax-standard-vat,KAPUSTA KISZONA 0.5 KG,6248,5901549818062,89,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-27963,import-cat-uncategorised,tax-standard-vat,KAPUSTA KISZONA 1KG,27963,5904328000054,219,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-27964,import-cat-uncategorised,tax-standard-vat,KAPUSTA KISZONA 1KG,27964,5904328000542,199,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-3069,import-cat-uncategorised,tax-standard-vat,KAPUSTA KISZONA 1KG,3069,5907716100084,79,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-4904,import-cat-uncategorised,tax-standard-vat,KAPUSTA KISZONA 1KG,4904,5901549818000,79,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-2322,import-cat-uncategorised,tax-standard-vat,KAPUSTA KISZONA MALA-DIA,2322,5903644000014,69,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-3715,import-cat-uncategorised,tax-standard-vat,KAPUSTA KWASZONA 1KG,3715,5905162000026,109,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-2897,import-cat-uncategorised,tax-standard-vat,KAPUSTA KWASZONA 1KG,2897,5907783266010,99,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-9601,import-cat-uncategorised,tax-standard-vat,KAPUSTA KWASZONA 500G,9601,5907604364024,49,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-5484,import-cat-uncategorised,tax-standard-vat,KAPUSTA KWASZONA 500G,5484,5904542916322,129,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-42272,import-cat-15,tax-standard-vat,KAPUSTA MLODA,42272,,179,0,0,0,0,1,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-22124,import-cat-15,tax-standard-vat,KAPUSTA WLOSKA,22124,,249,0,0,0,0,1,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-2536,import-cat-6,tax-standard-vat,KARMI CLASSIC 400ML,2536,5900014002227,169,62,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-5522,import-cat-6,tax-standard-vat,KARMI CLASSIC 4PACK 4*400ML,5522,5900014011106,599,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-13797,import-cat-6,tax-standard-vat,KARMI ZURAWINA 400ML,13797,5900014002562,169,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-13796,import-cat-4,tax-standard-vat,KARMI ZURAWINA 4X400,13796,5900014011151,599,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-45779,import-cat-uncategorised,tax-standard-vat,KARPACKIE 500ML,45779,5900535022988,159,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-9950,import-cat-4,tax-standard-vat,KARPACKIE 9% 500ML,9950,5900535000702,159,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-19883,import-cat-uncategorised,tax-standard-vat,KARPUELU CIETE 400G,19883,4750073221142,129,55,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-45773,import-cat-uncategorised,tax-standard-vat,KARUMI KIVI,45773,4750025902730,79,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-45774,import-cat-uncategorised,tax-standard-vat,KARUMS,45774,4750025902723,79,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-11474,import-cat-8,tax-standard-vat,KARUMS KARMEL 45G,11474,4750050341481,79,38,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-45777,import-cat-uncategorised,tax-standard-vat,KARUMS MAGONU,45777,4750025000665,79,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-45776,import-cat-uncategorised,tax-standard-vat,KARUMS MELLE,45776,4750025001358,79,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-11479,import-cat-16,tax-standard-vat,KARUMS VANILLA 45G,11479,4750050341405,79,38,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-45775,import-cat-uncategorised,tax-standard-vat,KARUMS ZEMENU,45775,4750025000528,79,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-44385,import-cat-uncategorised,tax-standard-vat,KASHKAVAL CHEESE 350,44385,5060680430783,399,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-38855,import-cat-uncategorised,tax-standard-vat,KASIA MARGAR BEZ LAK,38855,8719200213227,149,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-38297,import-cat-uncategorised,tax-standard-vat,KASIA MARGARYNA,38297,8719200199019,89,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-4940,import-cat-18,tax-standard-vat,KASZA JECZMIENNA WIEJSKA,4940,5906827007503,129,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-44426,import-cat-uncategorised,tax-standard-vat,kaszka ryzowo kukury,44426,8445290969569,229,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-40351,import-cat-uncategorised,tax-standard-vat,KASZTELAN,40351,5903082101519,179,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-6691,import-cat-4,tax-standard-vat,KASZTELAN 500ML,6691,5903082205569,159,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-2022,import-cat-21,tax-standard-vat,KAWA FORT 250G,2022,5900788201017,259,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-2278,import-cat-21,tax-standard-vat,KAWA PRIMA 100G,2278,5900194000075,159,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-10897,import-cat-21,tax-standard-vat,KAWA PRIMA SNIADANIO,10897,5900194300267,459,211,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-40545,import-cat-uncategorised,tax-standard-vat,KB ALMONDS,40545,5035774000197,259,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-44049,import-cat-uncategorised,tax-standard-vat,KB PISTACHIOS,44049,5035774000067,129,0,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
import-prod-16227,import-cat-18,tax-standard-vat,KEDAINIU BARSCIAI,16227,4770583214021,239,109,0,0,0,0,0,0,#334155,,1,2026-06-13T00:00:00.000Z,2026-06-13T00:00:00.000Z,
